,IBA strain - OD600,IBA strain - OD600,IBA strain - OD600,Glucose (mM),Glucose (mM),Glucose (mM),Acetate (mM),Acetate (mM),Acetate (mM),IBA (mM),IBA (mM),IBA (mM)
time (h),R1,R2,R3,R1,R2,R3,R1,R2,R3,R1,R2,R3
0.5,0.103,0.1,0.097,117.6111111,118.1111111,118.2777778,18.33333333,20.83333333,18.83333333,0,0,0
2,0.116,0.111,0.117
3,0.23,0.22,0.216
5,0.75,0.74,0.74,117.3888889,117.5,117.1666667,16.16666667,16.66666667,16.5,0,0,0
7,2.1,2.02,1.89
9,3.97,3.84,3.67
11.25,5.63,4.37,5.35
13,7.43,7.14,7.03,79.05555556,81.27777778,81.55555556,3.5,5.833333333,4.166666667,23.26167386,22.78901023,22.506725
15,8.2,8.14,7.72
24,7.72,7.63,7.65,44.66666667,44.66666667,44.94444444,4.5,2,3,53.36772159,51.95629545,52.08759091
27.5,7.36,7.78,7.72
